Gam ID ,Distance.cm,Temperature.ºC,Concentration.µg/L
1,55.7,10,0
2,50,10,0
3,45.3,10,0
4,58.7,10,0
5,69.3,10,0
6,56.1,10,0
13,51.2,15,0
14,57.9,15,0
15,50.7,15,0
16,45.1,15,0
17,39.6,15,0
18,52,15,0
25,58.8,5,0
26,60.7,5,0
27,40.2,5,0
28,51.9,5,0
29,35.9,5,0
30,7.3,5,0
109,46.3,5,0
110,50.3,5,0
111,55.3,5,0
112,37.2,5,0
113,34.4,5,0
114,46.8,5,0
133,50.6,10,0
134,53.4,10,0
135,37.8,10,0
136,39.9,10,0
137,50.2,10,0
138,46,10,0
157,46.5,15,0
158,42.4,15,0
159,20.6,15,0
160,29.2,15,0
161,27.7,15,0
162,23.5,15,0
73,27.6,10,100
74,0,10,100
75,21.5,10,100
76,41,10,100
77,29.1,10,100
78,36.5,10,100
79,0,15,100
80,0.5,15,100
81,0,15,100
82,0,15,100
83,0,15,100
84,0,15,100
85,41.1,5,100
86,25.4,5,100
87,25.7,5,100
88,24,5,100
89,48,5,100
90,22.6,5,100
121,29.9,5,100
122,19,5,100
123,35.7,5,100
124,33.9,5,100
125,31.4,5,100
126,31.2,5,100
145,11.3,10,100
146,11.1,10,100
147,6.2,10,100
148,25.2,10,100
149,20.9,10,100
150,17.4,10,100
169,5.3,15,100
170,4.9,15,100
171,7.7,15,100
172,7.9,15,100
173,5,15,100
174,6,15,100
361,23.2,5,0.1
362,32.2,5,0.1
363,40.5,5,0.1
364,35.7,5,0.1
365,46.7,5,0.1
366,38.8,5,0.1
367,32.5,5,0.1
368,31.3,5,0.1
369,33.6,5,0.1
370,34.5,5,0.1
371,30.6,5,0.1
372,26.4,5,0.1
373,46.4,10,0.1
374,54.4,10,0.1
375,42.5,10,0.1
376,54.4,10,0.1
377,32.7,10,0.1
378,38,10,0.1
379,52.2,10,0.1
380,53.7,10,0.1
381,33.8,10,0.1
382,41.4,10,0.1
383,51.5,10,0.1
384,27.8,10,0.1
385,42.6,15,0.1
386,13,15,0.1
387,50.2,15,0.1
388,53.5,15,0.1
389,37.2,15,0.1
390,44.4,15,0.1
391,37.4,15,0.1
392,30.3,15,0.1
393,41.2,15,0.1
394,8.2,15,0.1
395,46,15,0.1
396,39.1,15,0.1
397,36.4,5,10
398,37.7,5,10
399,2.4,5,10
400,51.7,5,10
401,32.8,5,10
402,21.3,5,10
403,33.6,5,10
404,9.5,5,10
405,25,5,10
406,9.5,5,10
407,50.5,5,10
408,10.5,5,10
409,23.2,10,10
410,35.4,10,10
411,51.5,10,10
412,41.4,10,10
413,44.2,10,10
414,32.3,10,10
415,38.3,10,10
416,41.9,10,10
417,16.7,10,10
418,23,10,10
419,38.8,10,10
420,38.3,10,10
421,21.2,15,10
422,36.2,15,10
423,27.1,15,10
424,46.2,15,10
425,23.6,15,10
426,30.6,15,10
427,29.3,15,10
428,26.7,15,10
429,22.1,15,10
430,16.5,15,10
431,18.1,15,10
432,16.2,15,10
